Song,Artist,query_idx,channel_artist_same,video_title,video_channel,video_url
Good Rumors (feat. Shape),#$,7,False,sam hunt - body like a back road (official audio),sam hunt,https://www.youtube.com/watch?v=Mdh2p03cRfw
Don't Be Scared,!llmind,0,True,don't be scared,llmind - topic,https://www.youtube.com/watch?v=z7lp0G5I3a0
Gravitation,!mindparade,0,True,gravitation,mindparade - topic,https://www.youtube.com/watch?v=CbdIPrd5P2o
Gonna Be,!mindparade,0,True,gonna be,mindparade - topic,https://www.youtube.com/watch?v=1CLiPZKOJ8I
Reincarnation,!distain,0,True,reincarnation (feat. sayhan),!distain - topic,https://www.youtube.com/watch?v=s_fQKO2Z-8E
Back to History,!distain,1,True,from horizon to horizon,!distain - topic,https://www.youtube.com/watch?v=pzS5NTgXfKo
Summer '84,!distain,5,True,from night - to lifetime (!distain vs. nonpoptale),!distain - topic,https://www.youtube.com/watch?v=5N9fTRo5R3M
Right Now,#$,2,False,one direction - right now (lyrics),dopenetwork,https://www.youtube.com/watch?v=Zsn22w-0EEI
Hello Goodbye,#1 Beatles Now,2,False,"the beatles   hello, goodbye lyrics",corrente do bem - worktips club,https://www.youtube.com/watch?v=3BCF3RXaw-E
She Loves You,#1 Beatles Now,9,False,beatles she loves you (with lyrics),willybeable,https://www.youtube.com/watch?v=BOuu88OwdK8
Dancin' Away With My Heart,#1 Country All-Star Ensemble,0,True,dancin' away with my heart,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=VtQS_MRKTLI
Stuck Like Glue,#1 Country All-Star Ensemble,5,False,bob dylan - like a rolling stone (official audio),bob dylan,https://www.youtube.com/watch?v=IwOfCgkyEj0
Kiss Tomorrow Goodbye,#1 Country All-Star Ensemble,0,True,kiss tomorrow goodbye,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=NNH1b1uR61U
Country Girl (Shake It for Me),#1 Country All-Star Ensemble,0,True,country girl (shake it for me),#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=uacSyxnKb40
Hurt,#1 Country All-Star Ensemble,0,True,hurt,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=217mw5CdqTg
The One That Got Away,#1 Country All-Star Ensemble,0,True,the one that got away,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=LxqWJIjblcE
For You,#1 Country All-Star Ensemble,0,True,for you,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=a7VRFes-iSQ
Live Like You Were Dying,#1 Country All-Star Ensemble,2,True,for you,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=a7VRFes-iSQ
Pontoon,#1 Country All-Star Ensemble,0,True,pontoon,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=WJ5nzRGlW0A
Are You Gonna Kiss Me or Not,#1 Country All-Star Ensemble,0,True,are you gonna kiss me or not,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=EDZ1reVx9w0
Time Is Love,#1 Country All-Star Ensemble,0,True,time is love,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=MTzrCOKzDD0
Wanted,#1 Country All-Star Ensemble,0,True,wanted,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=zp47IKgJQnI
One More Sad Song,#1 Country All-Star Ensemble,0,True,one more sad song,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=gCzBLpPxbts
Come Wake Me Up,#1 Country All-Star Ensemble,0,True,come wake me up,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=GyAEgXVrg8A
Picture,#1 Country All-Star Ensemble,0,True,picture,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=VZTCq3t-mdg
Over,#1 Country All-Star Ensemble,5,True,for you,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=a7VRFes-iSQ
Cowboys and Angels,#1 Country All-Star Ensemble,0,True,cowboys and angels,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=FiT-jfy8uxY
Good Girl,#1 Country All-Star Ensemble,0,True,good girl,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=sg5qetm-y5Y
Drunk On You,#1 Country All-Star Ensemble,0,True,drunk on you,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=VCJ1jXOxH5I
Springsteen,#1 Country All-Star Ensemble,8,False,neil young - heart of gold (official audio),neilyoungchannel,https://www.youtube.com/watch?v=c7eB7Wns1-M
(Kissed You) Good Night,#1 Country All-Star Ensemble,9,False,barbra streisand - woman in love (official audio),barbra streisand,https://www.youtube.com/watch?v=hQLGCX8D-1Y
Every Storm,#1 Country All-Star Ensemble,2,False,bob dylan - like a rolling stone (official audio),bob dylan,https://www.youtube.com/watch?v=IwOfCgkyEj0
Somethin' 'bout a Truck,#1 Country All-Star Ensemble,0,True,somethin' 'bout a truck,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=-jpUGWxaGEM
Over You,#1 Country All-Star Ensemble,1,True,for you,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=a7VRFes-iSQ
New York Groove,#1 Country All-Star Ensemble,0,True,new york groove,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=4FEtGEz7fPI
Hard to Love,#1 Country All-Star Ensemble,0,True,hard to love,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=EyvK4oDlNdM
Drink On It,#1 Country All-Star Ensemble,0,True,drink on it,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=BV8xheiNJQI
Come Over,#1 Country All-Star Ensemble,2,True,for the first time,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=vLYQeuhE-1s
Truck Yeah,#1 Country All-Star Ensemble,0,True,truck yeah,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=byrDOUvjNnY
Creepin',#1 Country All-Star Ensemble,6,False,the weeknd - blinding lights (official audio),the weeknd,https://www.youtube.com/watch?v=fHI8X4OXluQ
For the First Time,#1 Country All-Star Ensemble,0,True,for the first time,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=vLYQeuhE-1s
Dirt Road Anthem,#1 Country All-Star Ensemble,0,True,dirt road anthem,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=yMddO-QV8t0
Begin Again,#1 Country All-Star Ensemble,0,True,begin again,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=XIpuhb7XFms
Take a Little Ride,#1 Country All-Star Ensemble,0,True,take a little ride,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=Sz7Ts9Mkfq0
Made in America,#1 Country All-Star Ensemble,0,True,made in america,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=3bUCuJIFeCE
Chicken Fried,#1 Country All-Star Ensemble,0,True,chicken fried,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=AxlQbcYCzSk
Need You Now,#1 Country All-Star Ensemble,0,True,need you now,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=wTbvrfa5G2M
Goodbye in Her Eyes,#1 Country All-Star Ensemble,0,True,goodbye in her eyes,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=-0sM5uFBZsY
I Walk the Line,#1 Country Heroes,3,False,willie nelson - on the road again (official audio),willie nelson,https://www.youtube.com/watch?v=dBN86y30Ufc
Cruise,#1 Country All-Star Ensemble,0,True,cruise,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=4EEUMBRJlZc
Blown Away,#1 Country All-Star Ensemble,0,True,blown away,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=d0ipGns0wnI
Aw Naw (Instrumental Version),#1 Country Heroes,4,False,the clash - should i stay or should i go (official audio),the clash,https://www.youtube.com/watch?v=BN1WwnEDWAM
My Kinda Party,#1 Country All-Star Ensemble,0,True,my kinda party,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=NevSSpmAGG4
Jesus| Take the Wheel,#1 Country All-Star Ensemble,6,False,johnny cash - one piece at a time (official audio),johnny cash,https://www.youtube.com/watch?v=uErKI0zWgjg
Collide,#1 Country All-Star Ensemble,0,True,collide,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=RtTU5DA42Zk
Feel Like a Rock Star,#1 Country All-Star Ensemble,2,False,bob dylan - like a rolling stone (official audio),bob dylan,https://www.youtube.com/watch?v=IwOfCgkyEj0
We Are Never Ever Getting Backing Together,#1 Country All-Star Ensemble,3,True,springsteen,#1 country all-star ensemble - topic,https://www.youtube.com/watch?v=VA8rTa6SVOI
Stay (Instrumental Version),#1 Country Heroes,9,False,willie nelson - on the road again (official audio),willie nelson,https://www.youtube.com/watch?v=dBN86y30Ufc
Take a Back Road,#1 Country Heroes,1,False,willie nelson - on the road again (official audio),willie nelson,https://www.youtube.com/watch?v=dBN86y30Ufc
Country Must Be Country Wide,#1 Country Heroes,7,False,enrique iglesias - why not me (lyrics),awelyrics,https://www.youtube.com/watch?v=EHyTFLZbWhA
Follow Your Arrow,#1 Country Heroes,5,False,willie nelson - on the road again (official audio),willie nelson,https://www.youtube.com/watch?v=dBN86y30Ufc
In Another's Eyes,#1 Country Heroes,5,False,randy travis - on the other hand (official audio),randy travis,https://www.youtube.com/watch?v=pJgV-TGkFeU
Drink in My Hand,#1 Country Instrumental Hits,0,True,drink in my hand,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=z0bWSCKM4vg
Drink in My Hand (Instrumental Tribute to Eric Church),#1 Country Instrumental Hits,1,True,drink in my hand,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=z0bWSCKM4vg
I'm Gonna Love You Through It,#1 Country Instrumental Hits,1,True,i'm gonna love you through it,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=kVVZ0uT9gz0
Wagon Wheel (Originally Performed by Darius Rucker) [Instrumental Version],#1 Country Heroes,9,False,"""the wreck of the edmund fitzgerald"" - gordon lightfoot (hd w/ lyrics)",zeezy,https://www.youtube.com/watch?v=9vST6hVRj2A
Tattoos On This Town,#1 Country Instrumental Hits,0,True,tattoos on this town,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=Qyb5BsKkrYo
Bottoms Up,#1 Country Heroes,9,False,"""the wreck of the edmund fitzgerald"" - gordon lightfoot (hd w/ lyrics)",zeezy,https://www.youtube.com/watch?v=9vST6hVRj2A
Reality,#1 Country Instrumental Hits,1,True,reality,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=4vNL5boGFeU
Easy,#1 Country Instrumental Hits,0,True,easy,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=vpJE6Ohek48
All Your Life (Instrumental Tribute to the Band Perry),#1 Country Instrumental Hits,1,True,all your life,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=rMMKcoAz2Bc
All Your Life,#1 Country Instrumental Hits,1,True,all your life,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=rMMKcoAz2Bc
You Gonna Fly,#1 Country Instrumental Hits,1,True,you gonna fly,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=jchvSHp64zs
Let It Rain,#1 Country Instrumental Hits,0,True,let it rain,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=mhIMVuyKRhU
Keep Me in Mind,#1 Country Instrumental Hits,0,True,keep me in mind,#1 country instrumental hits - topic,https://www.youtube.com/watch?v=4CaqksvK6QI
Wideawake,#1 Crush,0,True,wideawake,#1 crush - topic,https://www.youtube.com/watch?v=RBMRDSAZB4c
God Can Promise,#1 Dads,2,True,#1 dads - twice a fool (golden repair lp | 2020),#1 dads,https://www.youtube.com/watch?v=PxIk8bCe1Lo
O Christmas Tree (Glee Version),#1 Glee Club,9,False,glee the chipmunks song ( christmas don't be late ) lyrics,santana lopez,https://www.youtube.com/watch?v=3UXHzjmkXGc
Deck The Halls (Glee Christmas Version),#1 Glee Singers,5,False,"🎄징글벨 징글벨 징글벨 락♬ "" glee cast - jingle bell rock "" [가사해석/번역/자막/lyrics]",갬성팝,https://www.youtube.com/watch?v=ylx6A8RSPm8
Jingle Bells (Glee Christmas Version),#1 Glee Singers,1,False,"🎄징글벨 징글벨 징글벨 락♬ "" glee cast - jingle bell rock "" [가사해석/번역/자막/lyrics]",갬성팝,https://www.youtube.com/watch?v=ylx6A8RSPm8
The 12 Days Of Christmas (Glee Christmas Version),#1 Glee Singers,8,False,"🎄징글벨 징글벨 징글벨 락♬ "" glee cast - jingle bell rock "" [가사해석/번역/자막/lyrics]",갬성팝,https://www.youtube.com/watch?v=ylx6A8RSPm8
Poltergeist (Theme Song),#1 Halloween TV & Movie Themes,0,True,poltergeist (theme song),#1 halloween tv & movie themes - topic,https://www.youtube.com/watch?v=Xz061E9wkcE
Time Warp  (As Heard On The Rocky Horror Picture Show),#1 Halloween TV & Movie Themes,0,True,time warp (as heard on the rocky horror picture show),#1 halloween tv & movie themes - topic,https://www.youtube.com/watch?v=BHsDinhZjaw
Bad Things (As Heard On True Blood),#1 Halloween TV & Movie Themes,0,True,bad things (as heard on true blood),#1 halloween tv & movie themes - topic,https://www.youtube.com/watch?v=pw4HMXjE2A0
Where Is the Love?,#1 Hip Hop Hits,1,False,the black eyed peas - where is the love? (lyrics),cakes & eclairs,https://www.youtube.com/watch?v=n_ig9VnpXUU
Family Affair,#1 Hip Hop Hits,3,False,sly & the family stone - family affair (official audio),sly & the family stone,https://www.youtube.com/watch?v=xag5RKD0VHk
Airplanes,#1 Hip Hop Hits,2,False,b.o.b - airplanes (lyrics) ft. hayley williams,loku,https://www.youtube.com/watch?v=Aebgf1_iryI
#Selfie,#1 Hip Hop Hits,0,True,fireball,#1 hip hop hits - topic,https://www.youtube.com/watch?v=D6K1Qec5LYA
Kiss Kiss,#1 Hip Hop Hits,7,False,"lamboe4oe - self esteem (lyrics) ""is it the kisses for me""",bangersonly,https://www.youtube.com/watch?v=74flEphkuQc
Periscope (Brian for President Remix),#1 Hip Hop Hits,0,True,addicted to you,#1 hip hop hits - topic,https://www.youtube.com/watch?v=0wxeJIkjtog
Radioactive,#1 Hits,2,True,radioactive,#1 hits now - topic,https://www.youtube.com/watch?v=2j8-5NhRYNQ
Latch,#1 Hits,0,True,latch,#1 hits now - topic,https://www.youtube.com/watch?v=Oh2XvLD3Mgw
No Lie,#1 Hits,0,True,no lie,#1 hits - topic,https://www.youtube.com/watch?v=jaM0y8njpyI
Whistle (Flo Rida Remake),#1 Hits,4,False,아~ 이게 이 노래였어? flo rida - whistle [한국어ㅣ가사ㅣ자막ㅣ해석ㅣ번역],공원으로,https://www.youtube.com/watch?v=WoaOSer3QFU
Drive By,#1 Hits Now,9,False,the chainsmokers - closer (lyric) ft. halsey,the chainsmokers,https://www.youtube.com/watch?v=PT2_F-1esPk
Strip,#1 Hits Now,2,True,strip,#1 hits now - topic,https://www.youtube.com/watch?v=4o4EKpnkQqw
Scream Shout,#1 Hits,0,True,scream shout,#1 hits - topic,https://www.youtube.com/watch?v=b5uW451xJ6E
Can You Hear Me? (Ayayaya),#1 Hits Now,6,False,seal - kiss from a rose (official audio),rhino,https://www.youtube.com/watch?v=3-Yh6rnOchs
Big City Life,#1 Hip Hop Hits,9,False,blad p2a x khazin - city life (official lyric visualizer),blad p2a,https://www.youtube.com/watch?v=_nCPG9Wj9as
Run Boy Run,#1 Hits Now,0,True,run boy run,#1 hits now - topic,https://www.youtube.com/watch?v=0qMa3Bu8gLY
Diced Pineapples,#1 Hits Now,0,True,diced pineapples,#1 hits now - topic,https://www.youtube.com/watch?v=PnoKt0UpfF8
Beauty and a Beat,#1 Hits Now,0,True,beauty and a beat,#1 hits now - topic,https://www.youtube.com/watch?v=TtHjXhAPrfU
Thrift Shop,#1 Hits Now,0,True,thrift shop,#1 hits now - topic,https://www.youtube.com/watch?v=mrAuTvnUOho
A Thousand Years,#1 Hits Now,0,True,a thousand years,#1 hits now - topic,https://www.youtube.com/watch?v=ENCT1YFcW_0
Superluv,#1 Hits Now,0,True,superluv,#1 hits now - topic,https://www.youtube.com/watch?v=8Gcjs0D5bIQ
Ball,#1 Hits Now,3,True,ball,#1 hits now - topic,https://www.youtube.com/watch?v=Bo955w3a1Cw
Boyfriend,#1 Hits Now,1,True,boyfriend,#1 hits now - topic,https://www.youtube.com/watch?v=lOI2j_Qh9Ec
5 O'Clock,#1 Hits Now,1,True,5 o'clock,#1 hits now - topic,https://www.youtube.com/watch?v=wkuOdu6p0_w
Mercy,#1 Hits Now,1,True,mercy,#1 hits now - topic,https://www.youtube.com/watch?v=gfQmeTFlTe8
Single Tear,#1 Hits Now,0,True,single tear,#1 hits now - topic,https://www.youtube.com/watch?v=kjgaXhoE7VI
Where Them Girls At,#1 Hits Now,0,True,where them girls at,#1 hits now - topic,https://www.youtube.com/watch?v=gHP-jWYLQ_U
Nobody's Business,#1 Hits Now,0,True,nobody's business,#1 hits now - topic,https://www.youtube.com/watch?v=FMUVHQoUCFo
Ass Back Home,#1 Hits Now,0,True,ass back home,#1 hits now - topic,https://www.youtube.com/watch?v=mHcipUXehiY
Sunset Amor,#1 Hits Now,7,False,barbra streisand - woman in love (official audio),barbra streisand,https://www.youtube.com/watch?v=hQLGCX8D-1Y
Scream and Shout,#1 Hits Now,0,True,scream and shout,#1 hits now - topic,https://www.youtube.com/watch?v=Lg5_NlaxjwE
Eyes Open,#1 Hits Now,1,True,eyes open,#1 hits now - topic,https://www.youtube.com/watch?v=GMoa-8s1eYE
Wrapped Up,#1 Hits Now,0,True,wrapped up,#1 hits now - topic,https://www.youtube.com/watch?v=YglSxnlwG1U
Party Rock Anthem,#1 Hits Now,1,True,party rock anthem,#1 hits now - topic,https://www.youtube.com/watch?v=0NZp2vK-QvQ
Loving You is Killing Me,#1 Hits Now,0,True,loving you is killing me,#1 hits now - topic,https://www.youtube.com/watch?v=dDQSjvdXBCA
Black Out,#1 Hits Now,3,False,kodak black - running outta love [official audio],kodak black,https://www.youtube.com/watch?v=Q_OEbZNAdIU
Lighters,#1 Hits Now,0,True,lighters,#1 hits now - topic,https://www.youtube.com/watch?v=2a1MJ6qPdsA
Wild Ones,#1 Hits Now,0,True,wild ones,#1 hits now - topic,https://www.youtube.com/watch?v=nVLseYo6UI0
Somewhere Only We Know,#1 Hits Now,0,True,somewhere only we know,#1 hits now - topic,https://www.youtube.com/watch?v=3OF56mu7ghc
Whistle (Flo Rida Remake),#1 Hits Now,4,False,아~ 이게 이 노래였어? flo rida - whistle [한국어ㅣ가사ㅣ자막ㅣ해석ㅣ번역],공원으로,https://www.youtube.com/watch?v=WoaOSer3QFU
Fuckin' Problems,#1 Hits Now,0,True,fuckin' problems,#1 hits now - topic,https://www.youtube.com/watch?v=KhOQll8MtaA
(It) Feels So Good,#1 Hits Now,3,False,junior kimbrough - feel so good #1 (official audio),fat possum records,https://www.youtube.com/watch?v=r0R6gnTTLgg
Take a Hint,#1 Hits Now,1,True,take a hint,#1 hits now - topic,https://www.youtube.com/watch?v=aV0HiWopA80
Make It Nasty,#1 Hits Now,0,True,make it nasty,#1 hits now - topic,https://www.youtube.com/watch?v=5xPYNThviNA
Primadonna,#1 Hits Now,3,False,paramore - (one of those) crazy girls [official audio],paramore,https://www.youtube.com/watch?v=5ZbKPERsjQs
Love You Like a Love Song,#1 Hits Now,0,True,love you like a love song,#1 hits now - topic,https://www.youtube.com/watch?v=yVhZuDKsHw4
Au Seve,#1 Hits Now,0,True,au seve,#1 hits now - topic,https://www.youtube.com/watch?v=AEhgxLepxXc
Delicate Sound,#1 Hits Now,2,False,taylor swift - cruel summer (official audio),taylor swift,https://www.youtube.com/watch?v=ic8j13piAhQ
Payphone,#1 Hits Now,1,True,payphone,#1 hits now - topic,https://www.youtube.com/watch?v=clmVuBIFIiE
Blank Space,#1 Hits Now,8,False,taylor swift - cruel summer (official audio),taylor swift,https://www.youtube.com/watch?v=ic8j13piAhQ
Good Girl,#1 Hits Now,1,True,good girl,#1 hits now - topic,https://www.youtube.com/watch?v=HjmMkiukePU
Party Shaker,#1 Hits Now,0,True,party shaker,#1 hits now - topic,https://www.youtube.com/watch?v=g5XqzrhlZQU
Bossa Chill Out,#1 Hits Now,1,True,bossa chillout,#1 hits now - topic,https://www.youtube.com/watch?v=-YWp1DB7tR0
There She Goes,#1 Hits Now,0,True,there she goes,#1 hits now - topic,https://www.youtube.com/watch?v=1JYnztLkJ7Q
Midnight Run,#1 Hits Now,0,True,midnight run,#1 hits now - topic,https://www.youtube.com/watch?v=Xp9REQmxPaQ
Morning After Dark,#1 Hits Now,0,True,morning after dark,#1 hits now - topic,https://www.youtube.com/watch?v=esjSFBqEpi4
Girl On Fire (Inferno Version),#1 Hits Now,2,False,girl on fire - alicia keys (lyrics) 🎵,pillow,https://www.youtube.com/watch?v=cbhpIYVZioM
I Almost Do,#1 Hits Now,0,True,i almost do,#1 hits now - topic,https://www.youtube.com/watch?v=rPUaY4Iqgrs
Oasis,#1 Hits Now,1,True,oasis,#1 hits now - topic,https://www.youtube.com/watch?v=w-xxkksq6Ec
Hurt Me Tomorrow,#1 Hits Now,9,False,chicago - if you leave me now (official audio),chicago band,https://www.youtube.com/watch?v=-9_d-sFhmRM
Battle Scars,#1 Hits Now,0,True,battle scars,#1 hits now - topic,https://www.youtube.com/watch?v=z6mszoI7pTk
Representin,#1 Hits Now,0,True,representin,#1 hits now - topic,https://www.youtube.com/watch?v=O-hXpHcsSYM
As Long As You Love Me,#1 Hits Now,0,True,as long as you love me,#1 hits now - topic,https://www.youtube.com/watch?v=4bGfqnxTxFU
Algo Me Gusta de Ti,#1 Hits Now,1,False,danny ocean -  me rehúso (official audio),danny ocean,https://www.youtube.com/watch?v=aDCcLQto5BM
I Knew You Were Trouble,#1 Hits Now,0,True,i knew you were trouble,#1 hits now - topic,https://www.youtube.com/watch?v=WK5SvlFQYto
All Too Well,#1 Hits Now,3,False,taylor swift - all too well (official audio),13 management,https://www.youtube.com/watch?v=a7k7LBp-r5U
Birthday Cake,#1 Hits Now,1,True,birthday cake,#1 hits now - topic,https://www.youtube.com/watch?v=IKyogQtLcfI
Bangarang,#1 Hits Now,1,True,bangarang,#1 hits now - topic,https://www.youtube.com/watch?v=b8k31Y3_i50
Standing in the Dark,#1 Hits Now,0,True,standing in the dark,#1 hits now - topic,https://www.youtube.com/watch?v=l4FzncqUmKM
Talk That Talk,#1 Hits Now,1,True,talk that talk,#1 hits now - topic,https://www.youtube.com/watch?v=AZhFQ4jD6ks
Waterfalls,#1 Hits Now,0,True,waterfall,#1 hits now - topic,https://www.youtube.com/watch?v=kpfac_PSmy0
Niggas in Paris,#1 Hits Now,0,True,niggas in paris,#1 hits now - topic,https://www.youtube.com/watch?v=aeMWNYTiEVU
Sorry for Party Rocking,#1 Hits Now,0,True,sorry for party rocking,#1 hits now - topic,https://www.youtube.com/watch?v=Y-_6fSeqO1c
Oath,#1 Hits Now,0,True,oath,#1 hits now - topic,https://www.youtube.com/watch?v=_5wl3pVtUGg
Little Talks,#1 Hits Now,0,True,little talks,#1 hits now - topic,https://www.youtube.com/watch?v=kJTBx2TKKC0
Chill Beats,#1 Hits Now,0,True,chill hits,#1 hits now - topic,https://www.youtube.com/watch?v=1MVvGfcWh7k
Too Close,#1 Hits Now,5,False,the chainsmokers - closer (lyric) ft. halsey,the chainsmokers,https://www.youtube.com/watch?v=PT2_F-1esPk
Scream & Shout,#1 Hits Now,0,True,scream and shout,#1 hits now - topic,https://www.youtube.com/watch?v=Lg5_NlaxjwE
Thinking out Loud,#1 Hits Now,0,True,thinking out loud,#1 hits now - topic,https://www.youtube.com/watch?v=uGWx29Mm8-0
The Lazy Song,#1 Hits Now,0,True,the lazy song,#1 hits now - topic,https://www.youtube.com/watch?v=yuBvgtvLvw0
Trap Back Jumpin,#1 Hits Now,2,False,a boogie wit da hoodie - booby trap [official audio],a boogie wit da hoodie,https://www.youtube.com/watch?v=dQdoq8ynVV4
Beneath Your Beautiful,#1 Hits Now,0,True,beneath your beautiful,#1 hits now - topic,https://www.youtube.com/watch?v=98mUfwyHjXY
Wipe Your Eyes,#1 Hits Now,0,True,wipe your eyes,#1 hits now - topic,https://www.youtube.com/watch?v=cP7iyPxOs7g
Make Me Proud,#1 Hits Now,6,False,"lil durk ""no standards"" (baby mama diss) (wshh exclusive - official audio)",worldstarhiphop,https://www.youtube.com/watch?v=XDvq8xAP0FI
Uptown Funk,#1 Hits Now,0,True,uptown funk,#1 hits now - topic,https://www.youtube.com/watch?v=8uNQ9FwEU4Y
Some Nights,#1 Hits Now,0,True,some nights,#1 hits now - topic,https://www.youtube.com/watch?v=6jqeg94EsxQ
Catch My Breath,#1 Hits Now,0,True,catch my breath,#1 hits now - topic,https://www.youtube.com/watch?v=JGIQBW4q-Ec
