Song,Artist,Failed Reason
Greenday Hey Delihah' Theme'," 2 THE EXTREME,Master Chief & iLLest Game,,52
hTjb4aI742IZmUteP4Nq1Wv/TVqQlu4twAxgYr7HWrc=,152032,2122,Craig Riley,,,52
02sfRMCNdx0HWE0m40GV0Mr6waRMs4xFLtQ3hbD8jKE=,94830,465,Various Artists,Vic Thomas,,52
/V1b1FzRbsES/auiowdwHC2sjh4G/TQD6fia9mC+VAk=,427947,2122,Lee Ritenour,L. Ritenour,L. Ritenour,-1
AP81q5i+8w9mf8sLvVRTHvcDj6ISlYqdyZjME1yU5Eo=,158639,465,Classical Wedding Music Experts,,,52
RTZkzEml9iL7oy/7/K+wqjcEaLW+NCFb+Ect7ajgzpc=,360081,958,Christine Schäfer,Johann Sebastian Bach,,-1
zTDj01+HlhhOQycwVPTq2/tlFhIiU07nZwOnFdQ2tyQ=,269087,2022,Die Toten Hosen,Meurer,Frege,52
fGaB5rSbYhViGhEtRmXVqVIiyvwVCuN+a8sICOEmXcM=,347277,1630,Randy Meisner,Randy Meisner| Don Henley| Glenn Frey,,52
Im8kq6TdjYFPsYXXGm/MnYx8HxbUDAc7j9BbOD49lWg=,202106,465,林一峰 (Chet Lam),林一峰,林一峰,24
50Q9jB+6I7DvpWiB3v1qnNzh5Dap+vH6o52nFgSbA3g=,327122,1609,Dash Berlin,,,52
wD53+EPI6gInUuMl8+D/ErE3lN2SvQ4NPWDxgsJsnoI=,288365,2022,White Lion,,,52
AHXjCqpjtHpxPG+Q46BXGg81U99ZsotGg7j4FWot9tE=,103468,1180,Potshot,,,52
0LfN9PKEySGt7IQVOqYX0A8UYm3W/W/Uv6Tpw/ul+eQ=,253178,465,도나웨일,,,31
LaZLbPQeSGyQan08eWy+alKvG4twDcrYTObECdCSWS4=,254676,139|125|109,Funky Beats,,,52
nYux6SYxRxpfq+Q/GZUmY3DppYNwSJbtUOCD1z2k2Fw=,178113,958,Yo-Yo Ma & Kathryn Stott,Claude Debussy,,-1
6m+o50Pcn6Debjex3rB0E5WkLH3NskNfnBG5woyLYB4=,195512,1259,95 South,,,52
AeDuqhE04Y32is6JBs2bapmtvdpVWWS6OyZyQXDp8fs=,266658,465,Richard Clayderman,,,52
hXaXMfgidQmEq6WNSIsG9wh5uvgMAG9Jgfzt2xmSJ3k=,192052,1138,El Alfa,,,-1
Xu9jF9xdaZ5iIWwjYjFKYhYZoClRzVRTcGXt4pltU04=,167942,388,オルゴールサウンド J-POP,,,-1
HVR+N6yxo5nygJdAddSHb9br5HYu0aiA6OtvbwRD5DQ=,176457,242,Silent Night| Holy Night,Felix Bernard| Richard B. Smith,,-1
0jiD8oesTaAky+bCJiJfyJstg5RjDybZ8L1erZ0FMFk=,156688,465,Gladys Knight,Gladys Knight| William Guest,,52
4CLX9lwbcKWWrMXwTrGOtK1zwfT4R+BPVjeJD9f1vt4=,117632,958,Alban Berg Quartett,Igor Stravinsky (Fyodorovich),,-1
XoOb8DM8ed4rJXhMdEisDgyfTceDuQaU1s5h1p2QWSs=,93622,465,Alvin And The Chipmunks,Patrick Sarsfield Gilmore,,52
y6iuE+AL+sGxU54ZVW37nUfD6w5hzXE8N5bhq6wVp6E=,302323,1572|275,Lovedrug,,,52
9hY54K97Ew1hYv/AJY2yZ2o8khNwpdY7r7D/PM0C5BE=,142570,94,Solomon Burke,Joy Byers,,52
VLBRHVGcAQovBIS77MwY+DNr+uVqNwCVaJi9b3REUco=,497266,786,彭浩瑋 (Peng Hao Wei),彭浩瑋,彭浩瑋,-1
9VetfCIO1wN9vkLDK0fbs/OlVJz3mHNT5ZG0bBB76Ck=,201084,1259,Jshades,,,52
T7qKYz3lUVnE20uSfEf0kuVTK/KCqS8sZsYBzPoLOf8=,251425,958,Boston Pops Orchestra| Arthur Fiedler,Jacques Offenbach,,-1
Rxu4IY/r6S/UulnboEED5UgDaGHa2n6LyI7WVZHCaB4=,264986,1152,Claude Debussy,,,-1
jU39F+xSz9AqzjlaHxCRX0jodl4dhWvP2OZzUOtv7yQ=,191947,465,FitFam,,,52
h1i8yyi+unDme27uWrga7ER374vHGECoQmOnJIl1d+w=,219289,465,Men at Work,,,52
0hYeOgFCbrKUhBzYoa3IOOP2qcJ1KOkSiHes+LdLdsw=,484089,212,Naïssam Jalal| Rhythms of Resistance,Naïssam Jalal,,52
tAMuXmkJ9O+q7IBvGcXvHYFTj6imQoQCPAtEWoO1cxk=,30465,545,James Lovell,,,-1
GNyu2glgp2WjAx+MQGim0jkFl5pctwk4BwXotEdyck8=,64078,2022,Tom Waits,Tom Waits| Kathleen Brennan,,52
WioKOp5BYecmnLxaZOBWGEXjnuElk145+EPwsNTxU0E=,128835,798,Elvis Presley,,,52
srnQAJ1gV0TvqK34Lw7DRF6BqNmEp08VJykgr2oL+7Y=,335203,1609,Anjunabeats Worldwide,,,52
VnDXSt3s+mWuGfY++/TA5yTm0VZaHv+YqC/xsj+wQVw=,304587,829,Spencer Elliott,,,52
QSPOfoKqUtKiFIhagF9UjPwHUCVVoAove2uWrVX9Uzo=,197926,2122,Nat King Cole,George Gershwin| Ira Gershwin,,52
udL7J4fBMd3AUsUau7kAVxarWu/RvPyM/2fhcKS9hRY=,428547,2122,Grant Green,Velázquez,,52
BSw0m+DRk7ONsxqkJENxocaVPuJjUXKHppDpsSQpL5U=,373864,1011,คาราบาว (Carabao),Carabao,Carabao,-1
HWU3WDNyrIA9k3YlaFv33kUKpoyeMCqdoKnA7f7Vq+s=,212271,829,Franziska,Porzig| Porzig| Porzig| Stolle| Streicher| Stolle| Streicher| Porzig| Stolle| Streicher| Stolle| Streicher,,52
WRQsSx+IjhZvrQEdAPzNOQ+NY6lsZ/1oJqMZD7H6DTE=,240013,444,Groove Edition,,,31
2aosoKFNYN6Gs2Icg15W/PDY5HbGyDKn0/PC/Tgup4M=,171734,465,The Tremeloes,,,52
89o6/B8cL3e/Xpyw7cpGc+1/Vy7rgvA+6Q8UWvQY5hk=,137926,958,Various Artists,,,-1
W5SZs96I9jXoGyusWxErp5lfds7XoxMopyfgu8rss4Q=,96967,242,Varios Artistas,,,-1
7vIuTR/4mMAeF0FnLTE1UvSijTr6WsyGDNxs8lYh8EI=,207203,691,Various Artists,,,-1
nQHidtd5GZV3YvuqvsEqzheyrtwZXuNt7vYNjEgq5mY=,352182,2122,Warner Jazz Christmas,,,52
GbZ6DG/GW95TH0qAQH4T5wz0imO4mDjXUGpQhi9RIPI=,523842,1609,Luka Sambe,,,52
WNPCbfm5qc8bx96UdgSJlFacUu4ZmUB2l0mZdcgfwj8=,118050,1152,Various Artists,,,-1
NEklqCJPGSGGOehr9Cyp4myvMgpAa70YW/cyCKzwqBo=,367072,1598,Mayang Sari,,,59
hirlgtpXFD5eyspJtyABGCtGhgkRxwX5BGWELnYTXuc=,229093,2022,H.E.A.T,Erik Grönwall| Erik Hammarbäck| Jimmy Johansson,Erik Grönwall| Erik Hammarbäck| Jimmy Johansson,52
KH1IKZkON52kOLh9FHTPTrM/Gf1S0IjKNtkq9ZgyP7I=,202315,2022,Sugar Glyder,,,52
MK1SRkDtIyoXP8yaQCUOvfDuSDSBHtcOocn1b4t5nXE=,162633,958,Sviatoslav Richter,,,-1
jFmpAnBrgN0rdssfRqdqNEg8/spTYJ94pb0nJPPv24I=,173035,2122,Shirley Bassey,Paul Francis Webster| Sammy Fain,,52
RLzFTpQKgwIelup/gtFaGzAm//71lHbm3ravLKKjYQM=,322726,465,Subzonic,Subzonic,,52
V4jrDqgdT0Zvh//fcuJs3/oMDbSsW+VVQspV5HU1xEE=,199993,1259, 2 THE EXTREME",Every channel is None or video duration is not between 60 and 600 seconds
Greenday Hey Delihah' Theme'," 2 THE EXTREME,Master Chief & iLLest Game,,52
hTjb4aI742IZmUteP4Nq1Wv/TVqQlu4twAxgYr7HWrc=,152032,2122,Craig Riley,,,52
02sfRMCNdx0HWE0m40GV0Mr6waRMs4xFLtQ3hbD8jKE=,94830,465,Various Artists,Vic Thomas,,52
/V1b1FzRbsES/auiowdwHC2sjh4G/TQD6fia9mC+VAk=,427947,2122,Lee Ritenour,L. Ritenour,L. Ritenour,-1
AP81q5i+8w9mf8sLvVRTHvcDj6ISlYqdyZjME1yU5Eo=,158639,465,Classical Wedding Music Experts,,,52
RTZkzEml9iL7oy/7/K+wqjcEaLW+NCFb+Ect7ajgzpc=,360081,958,Christine Schäfer,Johann Sebastian Bach,,-1
zTDj01+HlhhOQycwVPTq2/tlFhIiU07nZwOnFdQ2tyQ=,269087,2022,Die Toten Hosen,Meurer,Frege,52
fGaB5rSbYhViGhEtRmXVqVIiyvwVCuN+a8sICOEmXcM=,347277,1630,Randy Meisner,Randy Meisner| Don Henley| Glenn Frey,,52
Im8kq6TdjYFPsYXXGm/MnYx8HxbUDAc7j9BbOD49lWg=,202106,465,林一峰 (Chet Lam),林一峰,林一峰,24
50Q9jB+6I7DvpWiB3v1qnNzh5Dap+vH6o52nFgSbA3g=,327122,1609,Dash Berlin,,,52
wD53+EPI6gInUuMl8+D/ErE3lN2SvQ4NPWDxgsJsnoI=,288365,2022,White Lion,,,52
AHXjCqpjtHpxPG+Q46BXGg81U99ZsotGg7j4FWot9tE=,103468,1180,Potshot,,,52
0LfN9PKEySGt7IQVOqYX0A8UYm3W/W/Uv6Tpw/ul+eQ=,253178,465,도나웨일,,,31
LaZLbPQeSGyQan08eWy+alKvG4twDcrYTObECdCSWS4=,254676,139|125|109,Funky Beats,,,52
nYux6SYxRxpfq+Q/GZUmY3DppYNwSJbtUOCD1z2k2Fw=,178113,958,Yo-Yo Ma & Kathryn Stott,Claude Debussy,,-1
6m+o50Pcn6Debjex3rB0E5WkLH3NskNfnBG5woyLYB4=,195512,1259,95 South,,,52
AeDuqhE04Y32is6JBs2bapmtvdpVWWS6OyZyQXDp8fs=,266658,465,Richard Clayderman,,,52
hXaXMfgidQmEq6WNSIsG9wh5uvgMAG9Jgfzt2xmSJ3k=,192052,1138,El Alfa,,,-1
Xu9jF9xdaZ5iIWwjYjFKYhYZoClRzVRTcGXt4pltU04=,167942,388,オルゴールサウンド J-POP,,,-1
HVR+N6yxo5nygJdAddSHb9br5HYu0aiA6OtvbwRD5DQ=,176457,242,Silent Night| Holy Night,Felix Bernard| Richard B. Smith,,-1
0jiD8oesTaAky+bCJiJfyJstg5RjDybZ8L1erZ0FMFk=,156688,465,Gladys Knight,Gladys Knight| William Guest,,52
4CLX9lwbcKWWrMXwTrGOtK1zwfT4R+BPVjeJD9f1vt4=,117632,958,Alban Berg Quartett,Igor Stravinsky (Fyodorovich),,-1
XoOb8DM8ed4rJXhMdEisDgyfTceDuQaU1s5h1p2QWSs=,93622,465,Alvin And The Chipmunks,Patrick Sarsfield Gilmore,,52
y6iuE+AL+sGxU54ZVW37nUfD6w5hzXE8N5bhq6wVp6E=,302323,1572|275,Lovedrug,,,52
9hY54K97Ew1hYv/AJY2yZ2o8khNwpdY7r7D/PM0C5BE=,142570,94,Solomon Burke,Joy Byers,,52
VLBRHVGcAQovBIS77MwY+DNr+uVqNwCVaJi9b3REUco=,497266,786,彭浩瑋 (Peng Hao Wei),彭浩瑋,彭浩瑋,-1
9VetfCIO1wN9vkLDK0fbs/OlVJz3mHNT5ZG0bBB76Ck=,201084,1259,Jshades,,,52
T7qKYz3lUVnE20uSfEf0kuVTK/KCqS8sZsYBzPoLOf8=,251425,958,Boston Pops Orchestra| Arthur Fiedler,Jacques Offenbach,,-1
Rxu4IY/r6S/UulnboEED5UgDaGHa2n6LyI7WVZHCaB4=,264986,1152,Claude Debussy,,,-1
jU39F+xSz9AqzjlaHxCRX0jodl4dhWvP2OZzUOtv7yQ=,191947,465,FitFam,,,52
h1i8yyi+unDme27uWrga7ER374vHGECoQmOnJIl1d+w=,219289,465,Men at Work,,,52
0hYeOgFCbrKUhBzYoa3IOOP2qcJ1KOkSiHes+LdLdsw=,484089,212,Naïssam Jalal| Rhythms of Resistance,Naïssam Jalal,,52
tAMuXmkJ9O+q7IBvGcXvHYFTj6imQoQCPAtEWoO1cxk=,30465,545,James Lovell,,,-1
GNyu2glgp2WjAx+MQGim0jkFl5pctwk4BwXotEdyck8=,64078,2022,Tom Waits,Tom Waits| Kathleen Brennan,,52
WioKOp5BYecmnLxaZOBWGEXjnuElk145+EPwsNTxU0E=,128835,798,Elvis Presley,,,52
srnQAJ1gV0TvqK34Lw7DRF6BqNmEp08VJykgr2oL+7Y=,335203,1609,Anjunabeats Worldwide,,,52
VnDXSt3s+mWuGfY++/TA5yTm0VZaHv+YqC/xsj+wQVw=,304587,829,Spencer Elliott,,,52
QSPOfoKqUtKiFIhagF9UjPwHUCVVoAove2uWrVX9Uzo=,197926,2122,Nat King Cole,George Gershwin| Ira Gershwin,,52
udL7J4fBMd3AUsUau7kAVxarWu/RvPyM/2fhcKS9hRY=,428547,2122,Grant Green,Velázquez,,52
BSw0m+DRk7ONsxqkJENxocaVPuJjUXKHppDpsSQpL5U=,373864,1011,คาราบาว (Carabao),Carabao,Carabao,-1
HWU3WDNyrIA9k3YlaFv33kUKpoyeMCqdoKnA7f7Vq+s=,212271,829,Franziska,Porzig| Porzig| Porzig| Stolle| Streicher| Stolle| Streicher| Porzig| Stolle| Streicher| Stolle| Streicher,,52
WRQsSx+IjhZvrQEdAPzNOQ+NY6lsZ/1oJqMZD7H6DTE=,240013,444,Groove Edition,,,31
2aosoKFNYN6Gs2Icg15W/PDY5HbGyDKn0/PC/Tgup4M=,171734,465,The Tremeloes,,,52
89o6/B8cL3e/Xpyw7cpGc+1/Vy7rgvA+6Q8UWvQY5hk=,137926,958,Various Artists,,,-1
W5SZs96I9jXoGyusWxErp5lfds7XoxMopyfgu8rss4Q=,96967,242,Varios Artistas,,,-1
7vIuTR/4mMAeF0FnLTE1UvSijTr6WsyGDNxs8lYh8EI=,207203,691,Various Artists,,,-1
nQHidtd5GZV3YvuqvsEqzheyrtwZXuNt7vYNjEgq5mY=,352182,2122,Warner Jazz Christmas,,,52
GbZ6DG/GW95TH0qAQH4T5wz0imO4mDjXUGpQhi9RIPI=,523842,1609,Luka Sambe,,,52
WNPCbfm5qc8bx96UdgSJlFacUu4ZmUB2l0mZdcgfwj8=,118050,1152,Various Artists,,,-1
NEklqCJPGSGGOehr9Cyp4myvMgpAa70YW/cyCKzwqBo=,367072,1598,Mayang Sari,,,59
hirlgtpXFD5eyspJtyABGCtGhgkRxwX5BGWELnYTXuc=,229093,2022,H.E.A.T,Erik Grönwall| Erik Hammarbäck| Jimmy Johansson,Erik Grönwall| Erik Hammarbäck| Jimmy Johansson,52
KH1IKZkON52kOLh9FHTPTrM/Gf1S0IjKNtkq9ZgyP7I=,202315,2022,Sugar Glyder,,,52
MK1SRkDtIyoXP8yaQCUOvfDuSDSBHtcOocn1b4t5nXE=,162633,958,Sviatoslav Richter,,,-1
jFmpAnBrgN0rdssfRqdqNEg8/spTYJ94pb0nJPPv24I=,173035,2122,Shirley Bassey,Paul Francis Webster| Sammy Fain,,52
RLzFTpQKgwIelup/gtFaGzAm//71lHbm3ravLKKjYQM=,322726,465,Subzonic,Subzonic,,52
V4jrDqgdT0Zvh//fcuJs3/oMDbSsW+VVQspV5HU1xEE=,199993,1259, 2 THE EXTREME",No suitable video
Gadze feat. Leonsia Erdenko & Martin Lubenov,!Dela Dap,No suitable video
GI,!Dela Dap,No suitable video
Switch It Up,!Dris,No suitable video
Amaro Shavo (N.O.H.A. Remix),!Dela Dap,No suitable video
Star Najengo,!Dela Dap,No suitable video
Angelo (Karuan Meets The Snake Remix),!Dela Dap,Every channel is None or video duration is not between 60 and 600 seconds
Angelo (Karuan Meets The Snake Remix),!Dela Dap,No suitable video
Skadero feat. Leonsia Erdenko,!Dela Dap,No suitable video
Le Shin,!Dela Dap,No suitable video
Dragons Dynamite Magic Truffles,!Fuckyeah!,Every channel is None or video duration is not between 60 and 600 seconds
Dragons Dynamite Magic Truffles,!Fuckyeah!,No suitable video
Zsa Manca (Radio Version),!Dela Dap,No suitable video
Sara,!Dela Dap,No suitable video
Millaj,!Dela Dap,No suitable video
Lautlos feat. Voice & Musicians of the 17 Hippies ([dunkelbunt]-Remix),!Dela Dap,No suitable video
Never,!distain,No suitable video
Intro,!Dela Dap,No suitable video
December,!distain,No suitable video
Biav,!Dela Dap,No suitable video
Ave Shavo Sas,!Dela Dap,No suitable video
